STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
FALLS CREEK,2020-05-01,ACTUAL,15.5,1.5,39,228,7,0,,84.8,15,46,2.9,17,4,2
FALLS CREEK,2020-05-02,ACTUAL,15.2,1.6,40,230,7,0,,87.3,18,51,4.2,19,7,2
FALLS CREEK,2020-05-03,ACTUAL,13.5,-1,37,221,12,7.4,,62.6,12,45,0.9,14,1,2
FALLS CREEK,2020-05-04,ACTUAL,15.5,-4,26,240,11,0,,83.3,15,50,2.9,17,4,2
FALLS CREEK,2020-05-05,ACTUAL,15.6,-1.2,32,256,9,0,,88.2,18,56,5.2,20,8,3
FALLS CREEK,2020-05-06,ACTUAL,5.2,4.9,98,103,7,6.8,,27.7,10,49,0,13,0,1
FALLS CREEK,2020-05-07,ACTUAL,12.4,4.7,59,272,11,7,,41.8,7,44,0.1,10,0,1
FALLS CREEK,2020-05-08,ACTUAL,15.1,5,51,257,8,0.4,,68,9,49,0.9,12,1,2
FALLS CREEK,2020-05-09,ACTUAL,17.9,3.3,38,251,9,0,,83.5,12,55,2.7,15,4,2
FALLS CREEK,2020-05-10,ACTUAL,15.2,2.6,43,272,12,0,,86.6,14,60,4.7,18,7,2
FALLS CREEK,2020-05-11,ACTUAL,16.2,-2.4,28,280,19,0,,90.1,18,65,11.3,21,16,3
FALLS CREEK,2020-05-12,ACTUAL,15.2,-0.3,35,265,8,0,,90.1,20,70,6.5,24,11,3
FALLS CREEK,2020-05-13,ACTUAL,16.7,4,43,231,8,0.2,,89.8,23,76,6.2,26,11,3
FALLS CREEK,2020-05-14,ACTUAL,17.7,4.9,43,288,15,0,,89.8,26,81,8.8,29,15,3
FALLS CREEK,2020-05-15,ACTUAL,16.8,6.9,52,255,9,4,,67.6,20,82,0.9,25,1,2
FALLS CREEK,2020-05-16,ACTUAL,17.1,6,48,237,6,0,,80.6,23,87,1.6,27,3,2
FALLS CREEK,2020-05-17,ACTUAL,10.2,9.6,96,281,6,2.2,,53.3,20,92,0.3,25,0,2
FALLS CREEK,2020-05-18,ACTUAL,17.3,8.5,56,294,10,1.4,,69.6,22,97,1,28,2,2
FALLS CREEK,2020-05-19,ACTUAL,16,6.2,52,223,4,0,,79.9,24,102,1.4,30,3,2
FALLS CREEK,2020-05-20,ACTUAL,17.9,3.7,39,289,10,0,,86.8,27,108,4.5,33,10,3
FALLS CREEK,2020-05-21,ACTUAL,12.1,4.6,60,117,9,2.8,,66.8,23,113,0.9,30,1,2
FALLS CREEK,2020-05-22,ACTUAL,9.8,5.2,73,135,10,5.2,,46.2,15,109,0.2,22,0,2
FALLS CREEK,2020-05-23,ACTUAL,16.4,6.5,52,242,10,0.2,,71.7,17,114,1.1,25,1,2
FALLS CREEK,2020-05-24,ACTUAL,16.7,7.4,54,256,6,0,,81,19,120,1.7,27,3,2
FALLS CREEK,2020-05-25,ACTUAL,12.8,11.5,92,216,3,2,,57.8,17,124,0.4,26,0,2
FALLS CREEK,2020-05-26,ACTUAL,16.6,9.6,63,217,13,5.2,,55.8,12,122,0.6,19,1,2
FALLS CREEK,2020-05-27,ACTUAL,17.3,-0.6,30,295,9,0.8,,79.3,16,127,1.7,24,3,2
FALLS CREEK,2020-05-28,ACTUAL,17.6,1,33,261,7,0,,87.3,19,133,4.2,28,8,3
FALLS CREEK,2020-05-29,ACTUAL,19.5,4.7,38,234,6,0,,88.9,22,139,5,32,10,3
FALLS CREEK,2020-05-30,ACTUAL,19.1,10.2,56,166,4,0,,88.1,25,144,4,34,9,3
FALLS CREEK,2020-05-31,ACTUAL,11.9,10.8,93,98,4,29.4,,19.4,9,88,0,15,0,1
FALLS CREEK,2020-06-01,ACTUAL,15.2,9.8,70,257,9,12.8,,33.9,5,72,0,9,0,1
FALLS CREEK,2020-06-02,ACTUAL,19.8,5.4,39,165,8,3,,63.8,7,76,0.8,11,0,1
FALLS CREEK,2020-06-03,ACTUAL,15.2,0.9,38,273,16,0.6,,81.5,9,83,3,14,4,2
FALLS CREEK,2020-06-04,ACTUAL,17.7,1.1,33,271,10,0,,88.1,13,89,5.5,19,8,2
FALLS CREEK,2020-06-05,ACTUAL,15.8,6.5,54,239,5,0,,87.8,15,95,4,21,7,2
FALLS CREEK,2020-06-06,ACTUAL,15.8,7.9,59,280,7,10.6,,51.5,9,83,0.3,14,0,1
