STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
ELK MOUNTAIN,2021-05-01,ACTUAL,13.3,-4.5,29,275,13,0,,,,,,,,
ELK MOUNTAIN,2021-05-02,ACTUAL,15.6,-7.3,20,124,7,0,,,,,,,,
ELK MOUNTAIN,2021-05-03,ACTUAL,13.9,-1.8,34,138,9,0.8,,,,,,,,
ELK MOUNTAIN,2021-05-04,ACTUAL,15.1,-1.6,32,278,11,3.8,,,,,,,,
ELK MOUNTAIN,2021-05-05,ACTUAL,17.2,-3.1,25,143,8,0.4,,,,,,,,
ELK MOUNTAIN,2021-05-06,ACTUAL,17.3,-1,29,76,8,0,,,,,,,,
ELK MOUNTAIN,2021-05-07,ACTUAL,10.6,0.6,50,121,6,0,,,,,,,,
ELK MOUNTAIN,2021-05-08,ACTUAL,10.3,4.3,66,127,6,7.2,,,,,,,,
ELK MOUNTAIN,2021-05-09,ACTUAL,13.5,-2.6,33,312,12,0,,,,,,,,
ELK MOUNTAIN,2021-05-10,ACTUAL,11.2,3,57,250,5,0.8,,,,,,,,
ELK MOUNTAIN,2021-05-11,ACTUAL,15.6,1.2,38,114,4,0,,,,,,,,
ELK MOUNTAIN,2021-05-12,ACTUAL,15,-1.3,33,266,9,0,,,,,,,,
ELK MOUNTAIN,2021-05-13,ACTUAL,14.8,-0.3,36,198,5,0,,,,,,,,
ELK MOUNTAIN,2021-05-14,ACTUAL,13.7,3.7,51,196,7,0,,,,,,,,
ELK MOUNTAIN,2021-05-15,ACTUAL,12.8,2.3,49,251,8,1.8,,,,,,,,
ELK MOUNTAIN,2021-05-16,ACTUAL,10.3,2.4,58,249,7,9.6,,,,,,,,
ELK MOUNTAIN,2021-05-17,ACTUAL,14.3,-3.6,29,140,5,1,,,,,,,,
ELK MOUNTAIN,2021-05-18,ACTUAL,12.3,-2.1,37,136,11,3.6,,,,,,,,
ELK MOUNTAIN,2021-05-19,ACTUAL,17.6,-6.3,19,161,6,0,,,,,,,,
ELK MOUNTAIN,2021-05-20,ACTUAL,16.2,2.5,40,92,6,0.6,,85,6,15,2.9,6,2,
ELK MOUNTAIN,2021-05-21,ACTUAL,20.6,-5.3,17,71,7,0.6,,91.9,11,21,8.1,11,9,2
ELK MOUNTAIN,2021-05-22,ACTUAL,16.5,-0.8,31,326,5,0,,91.9,14,26,7.3,14,9,2
ELK MOUNTAIN,2021-05-23,ACTUAL,16,-0.8,32,263,9,0,,91.7,17,32,8.7,17,12,2
ELK MOUNTAIN,2021-05-24,ACTUAL,8.3,6.9,91,82,5,16.2,,24.5,8,11,0,7,0,1
ELK MOUNTAIN,2021-05-25,ACTUAL,8.6,0.3,56,137,10,12.2,,34.6,4,4,0,4,0,1
ELK MOUNTAIN,2021-05-26,ACTUAL,11,2.8,57,200,7,0.6,,58.2,6,8,0.5,6,0,1
ELK MOUNTAIN,2021-05-27,ACTUAL,17.6,-2.2,26,258,7,1.6,,76.6,9,14,1.2,9,1,1
ELK MOUNTAIN,2021-05-28,ACTUAL,18.2,-2.8,24,314,13,0,,88.9,13,20,6.9,12,8,2
ELK MOUNTAIN,2021-05-29,ACTUAL,20,-3,21,223,12,0,,92.4,17,26,10.9,17,14,2
ELK MOUNTAIN,2021-05-30,ACTUAL,20.4,-0.9,24,256,7,0,,92.5,21,32,8.7,21,13,3
ELK MOUNTAIN,2021-05-31,ACTUAL,22.9,4.8,31,192,7,0,,92.5,26,38,8.9,25,14,3
ELK MOUNTAIN,2021-06-01,ACTUAL,25.7,3,23,271,14,0,,93.5,31,46,14.2,31,22,3
ELK MOUNTAIN,2021-06-02,ACTUAL,23.4,11.1,46,228,4,0,,91.1,35,54,6.1,34,13,3
ELK MOUNTAIN,2021-06-03,ACTUAL,15.6,8.4,62,335,13,1.2,,81.2,36,60,2.5,36,6,2
ELK MOUNTAIN,2021-06-04,ACTUAL,18.6,1,31,336,8,0.2,,88.5,40,67,5.2,40,12,3
ELK MOUNTAIN,2021-06-05,ACTUAL,15.4,7.7,60,166,7,1.2,,80,42,73,1.6,41,4,2
ELK MOUNTAIN,2021-06-06,ACTUAL,8.8,7.9,94,159,3,17.4,,18.5,18,48,0,18,0,1
ELK MOUNTAIN,2021-06-07,ACTUAL,17.5,2.1,36,167,9,2.8,,57.3,17,55,0.5,19,0,1
ELK MOUNTAIN,2021-06-08,ACTUAL,23,4.9,31,169,8,0,,84.2,21,62,2.9,23,5,2
