STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
AFTON,2021-05-01,ACTUAL,6,2.8,80,262,30,0,,82.2,73,569,6.7,111,25,3
AFTON,2021-05-02,ACTUAL,15.9,-0.9,32,4,12,0.2,,88.1,76,575,6,114,24,3
AFTON,2021-05-03,ACTUAL,10.8,0.2,48,28,11,0,,87.9,78,579,5.4,116,22,3
AFTON,2021-05-04,ACTUAL,14.3,-1.9,33,323,22,0,,89.2,80,584,11.5,120,37,4
AFTON,2021-05-05,ACTUAL,16.3,-0.1,33,61,17,0,,89.8,83,589,9.7,123,34,4
AFTON,2021-05-06,ACTUAL,15.8,1.8,39,36,12,0,,89.8,86,595,7.7,127,29,4
AFTON,2021-05-07,ACTUAL,6.5,0.4,65,238,22,0,,86,87,598,7.1,127,28,3
AFTON,2021-05-08,ACTUAL,12,-4.3,32,245,6,1.2,,82.5,89,603,2,130,11,3
AFTON,2021-05-09,ACTUAL,14.7,0,37,27,11,0,,87.1,92,608,5,133,22,3
AFTON,2021-05-10,ACTUAL,14.8,2.6,44,177,11,0,,87.5,94,613,5.3,136,23,3
AFTON,2021-05-11,MANUAL,17.7,-0.7,29,20,8,0,,90.1,98,619,6.6,140,27,3
AFTON,2021-05-12,MANUAL,8.9,8.4,97,26,5,1.8,,63.2,88,623,0.6,130,4,2
AFTON,2021-05-13,ACTUAL,18,7.4,50,17,12,0.6,,79.7,91,628,2,133,11,3
AFTON,2021-05-14,ACTUAL,22,2.6,28,154,6,0,,89.4,95,635,5.3,138,23,3
AFTON,2021-05-15,ACTUAL,21.9,3.9,31,34,9,0,,90.9,99,641,7.8,143,31,4
AFTON,2021-05-16,ACTUAL,23.6,6.3,33,14,18,0,,91.1,104,648,12.4,148,42,4
AFTON,2021-05-17,ACTUAL,16.9,1.6,36,194,37,0,,91,107,653,31.4,151,75,5
AFTON,2021-05-18,ACTUAL,13.1,-7.6,23,219,31,0,,91.4,109,658,25,155,66,5
AFTON,2021-05-19,ACTUAL,7.9,2.8,70,252,12,3.4,,60.4,77,646,0.8,118,4,2
AFTON,2021-05-20,ACTUAL,14.2,0,38,347,19,0.2,,80.8,79,651,3.2,121,15,3
AFTON,2021-05-21,ACTUAL,17,-2.7,26,1,8,0,,88.8,83,656,5.4,126,23,3
AFTON,2021-05-22,ACTUAL,20.5,-7.1,15,26,8,0,,93.6,87,663,10.6,132,37,4
AFTON,2021-05-23,ACTUAL,22.6,0.9,24,330,13,0,,93.7,92,669,14,137,45,4
AFTON,2021-05-24,ACTUAL,21.1,0.2,25,262,22,0,,93.7,97,675,22.5,142,60,5
AFTON,2021-05-25,ACTUAL,16.3,9.3,63,287,7,1.2,,81.4,98,681,1.9,144,11,3
AFTON,2021-05-26,ACTUAL,19.4,1.7,31,166,24,3.6,,79.5,72,668,3.5,114,16,3
AFTON,2021-05-27,ACTUAL,18.8,0.7,30,184,31,0,,89.3,76,674,18.1,119,50,5
AFTON,2021-05-28,ACTUAL,15.7,1.3,38,323,20,0,,89.3,79,679,10.5,122,35,4
AFTON,2021-05-29,ACTUAL,18.3,2.9,36,1,18,0.2,,89.6,82,685,9.9,126,35,4
AFTON,2021-05-30,ACTUAL,21,4.8,35,9,8,0,,90.2,86,691,6.7,131,27,3
AFTON,2021-05-31,ACTUAL,23.6,8.4,38,25,13,0,,90.2,90,698,8.5,136,32,4
AFTON,2021-06-01,ACTUAL,26.3,7.3,30,349,6,0,,91.9,95,706,7.7,142,30,4
