STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
QUALICUM AP (EC),2020-05-01,ACTUAL,12,7.9,76,90,17,0,,,,,,,,
QUALICUM AP (EC),2020-05-02,ACTUAL,11,8.9,87,130,21,0,,,,,,,,
QUALICUM AP (EC),2020-05-03,ACTUAL,10,5,71,110,11,0,,,,,,,,
QUALICUM AP (EC),2020-05-04,ACTUAL,11,6,71,90,15,0,,,,,,,,
QUALICUM AP (EC),2020-05-05,MANUAL,12,5.7,65,80,9,0,,,,,,,,
QUALICUM AP (EC),2020-05-06,ACTUAL,13,3.9,54,10,9,0,,,,,,,,
QUALICUM AP (EC),2020-05-07,DELETED,13,5,58,350,9,0,,85,11,50,,,,
QUALICUM AP (EC),2020-05-08,ACTUAL,18,1.8,34,0,7,0,,88.8,14,56,5.2,17,8,2
QUALICUM AP (EC),2020-05-09,ACTUAL,19,5,40,20,9,0,,89,17,61,5.9,20,9,3
QUALICUM AP (EC),2020-05-10,ACTUAL,21,4.8,35,330,9,0,,90,21,68,6.9,24,11,3
QUALICUM AP (EC),2020-05-11,ACTUAL,20,7,43,350,6,0,,90.1,24,74,5.8,27,11,3
QUALICUM AP (EC),2020-05-12,ACTUAL,14,11,82,90,15,12.9,,41.3,12,57,0.1,15,0,1
QUALICUM AP (EC),2020-05-13,ACTUAL,14,10.1,77,100,9,0.2,,59.3,13,62,0.6,17,1,2
QUALICUM AP (EC),2020-05-14,ACTUAL,15,10.1,72,90,9,2.2,,60,12,67,0.7,16,1,2
QUALICUM AP (EC),2020-05-15,ACTUAL,15,9,67,100,11,0,,74,13,72,1.3,18,1,2
QUALICUM AP (EC),2020-05-16,ACTUAL,12,10.1,88,130,15,5.8,,40.4,8,68,0.1,12,0,1
QUALICUM AP (EC),2020-05-17,ACTUAL,12,11,94,110,6,2.8,,29.8,5,73,0,9,0,1
QUALICUM AP (EC),2020-05-18,ACTUAL,16,10,67,350,11,3,,49.4,5,75,0.3,8,0,1
