STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
BLUE RIVER 2,2021-05-01,ACTUAL,9.8,1.5,56,149,10,3.4,,55,10,29,0.5,11,0,1
BLUE RIVER 2,2021-05-02,ACTUAL,14.2,-5.1,26,178,6,0,,78.4,13,34,1.3,13,1,1
BLUE RIVER 2,2021-05-03,ACTUAL,12.5,-1.2,39,212,8,0,,84.9,15,39,3.2,15,4,2
BLUE RIVER 2,2021-05-04,ACTUAL,10.8,1.6,53,16,9,2,,72.6,14,43,1.1,16,1,1
BLUE RIVER 2,2021-05-05,ACTUAL,16.4,-6.7,20,39,11,0,,87.9,18,49,5.6,19,8,2
BLUE RIVER 2,2021-05-06,ACTUAL,12.9,1.8,47,30,4,0,,88,20,53,3.9,21,6,2
BLUE RIVER 2,2021-05-07,ACTUAL,8.2,4.1,75,198,15,10.2,,42.7,10,41,0.1,13,0,1
BLUE RIVER 2,2021-05-08,ACTUAL,12.9,-7.8,23,265,6,0,,72.2,13,46,0.9,15,1,1
BLUE RIVER 2,2021-05-09,ACTUAL,15.2,-7.7,20,289,6,0,,86.6,17,51,3.5,18,5,2
BLUE RIVER 2,2021-05-10,ACTUAL,11,5.2,67,274,5,1.8,,70.6,16,56,0.8,19,1,1
BLUE RIVER 2,2021-05-11,ACTUAL,17.8,-5.5,20,94,4,0,,86.7,20,61,3.3,22,6,2
BLUE RIVER 2,2021-05-12,ACTUAL,16.1,0.5,35,158,5,0,,88.7,23,67,4.5,25,8,3
BLUE RIVER 2,2021-05-13,ACTUAL,18.8,0.7,30,82,7,0,,90.4,27,72,6.3,28,12,3
BLUE RIVER 2,2021-05-14,ACTUAL,21,-2.2,21,245,7,0,,92.8,31,78,8.9,31,16,3
BLUE RIVER 2,2021-05-15,ACTUAL,22.2,1.2,25,199,8,0.2,,92.8,36,85,9.6,36,18,3
BLUE RIVER 2,2021-05-16,ACTUAL,23.9,2.6,25,74,13,0,,92.9,41,92,12.6,41,24,3
BLUE RIVER 2,2021-05-17,ACTUAL,12.2,6.3,67,232,19,1.6,,77.3,40,96,2.3,40,6,2
BLUE RIVER 2,2021-05-18,MANUAL,6,3.3,83,192,14,22.2,50,85,6,15,4.2,6,3,
BLUE RIVER 2,2021-05-19,ACTUAL,9.6,2,59,86,7,3.2,50,62.1,5,16,0.7,6,0,1
BLUE RIVER 2,2021-05-20,ACTUAL,13.9,-5.9,25,35,17,0.4,50,83.5,8,21,4.1,8,4,2
BLUE RIVER 2,2021-05-21,ACTUAL,17.2,-14.9,10,29,14,0,50,93.4,12,27,14.1,12,14,2
BLUE RIVER 2,2021-05-22,ACTUAL,21,-7.6,14,101,8,0,50,94.8,17,33,12.4,17,15,2
BLUE RIVER 2,2021-05-23,MANUAL,23.5,-1.5,19,61,10,0,,94.9,22,40,13.9,22,19,3
BLUE RIVER 2,2021-05-24,MANUAL,14.5,9,69,239,7,3,,65.7,18,42,0.8,18,1,1
BLUE RIVER 2,2021-05-25,ACTUAL,12.9,10.6,86,222,3,4.8,,37.3,12,41,0,14,0,1
BLUE RIVER 2,2021-05-26,ACTUAL,16.5,5.7,49,80,5,2.6,,56.9,11,46,0.4,14,0,1
BLUE RIVER 2,2021-05-27,ACTUAL,10.1,9,93,193,3,6,,24.7,7,42,0,9,0,1
BLUE RIVER 2,2021-05-28,ACTUAL,12.7,5.4,61,191,14,9.2,,41.1,4,33,0.1,6,0,1
BLUE RIVER 2,2021-05-29,ACTUAL,16.4,5,47,201,11,0.6,,70.5,7,39,1.1,9,1,1
BLUE RIVER 2,2021-05-30,ACTUAL,23.3,3.2,27,100,8,0,,88.3,11,45,5.1,14,7,2
BLUE RIVER 2,2021-05-31,ACTUAL,25.6,4,25,331,8,0,,92.5,17,52,9.2,19,13,2
BLUE RIVER 2,2021-06-01,ACTUAL,25.8,5.8,28,24,8,0,,92.5,22,60,9.2,23,14,3
