AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
257314,FALSE,Stanislaus National Forest/Yosemite National Park,,2013,TRUE,Tuolumne,55,,,,2013-09-06T18:30:00Z,,FALSE,TRUE,,,,37.857,-120.086,FALSE,Rim Fire,100,,TRUE,2013-08-17T15:25:00Z,Finalized,,,,,
30274,FALSE,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,2013,TRUE,Los Angeles,19,,,,2013-06-08T18:30:00Z,,FALSE,TRUE,,,,34.585595,-118.423176,FALSE,Powerhouse Fire,100,,TRUE,2013-05-30T15:28:00Z,Finalized,,,,,
27531,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,Riverside,33,,,,2013-07-30T18:00:00Z,,FALSE,TRUE,,,,33.7095,-116.72885,FALSE,Mountain Fire,100,,TRUE,2013-07-15T13:43:00Z,Finalized,,,,,
27440,FALSE,Tahoe National Forest,,2013,FALSE,Placer,31,,,,2013-08-30T08:00:00Z,,FALSE,TRUE,,,,39.12,-120.65,FALSE,American Fire,100,,TRUE,2013-08-10T16:30:00Z,Finalized,,,,,
24251,FALSE,Ventura County Fire/CAL FIRE,,2013,TRUE,Ventura,56,47,8,117,2013-05-11T06:30:00Z,,FALSE,TRUE,,11,10,0,0,TRUE,Springs Fire,100,2167,TRUE,2013-05-02T07:01:00Z,Finalized,6,10,,,11
22992,FALSE,Sierra National Forest,,2013,FALSE,Fresno,10,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,37.279,-119.318,FALSE,Aspen Fire,100,,TRUE,2013-07-22T22:15:00Z,Finalized,,,,,
20292,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,Riverside,33,63,20,201,2013-08-12T18:00:00Z,,FALSE,TRUE,,20,26,33.86157,-116.90427,TRUE,Silver Fire,100,2106,TRUE,2013-08-07T14:05:00Z,Finalized,8,40,,,20
14754,FALSE,Klamath National Forest,,2013,FALSE,Siskiyou,47,,,,2013-08-31T06:45:00Z,,FALSE,TRUE,,,,41.32,-123.176,FALSE,Salmon River Complex,100,,TRUE,2013-07-31T22:00:00Z,Finalized,,,,,
12503,FALSE,Six Rivers National Forest,,2013,FALSE,Humboldt,12,,,,2013-08-12T12:00:00Z,,FALSE,TRUE,,,,41.035,-123.488,FALSE,Corral Complex,100,,TRUE,2013-08-10T11:40:00Z,Finalized,,,,,
11429,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Tehama,52,30,3,36,2013-08-29T16:45:00Z,,FALSE,TRUE,,5,5,40.04263,-121.85397,TRUE,Deer Fire,100,898,TRUE,2013-08-23T14:15:00Z,Finalized,,,,,8
8073,FALSE,CAL FIRE Shasta-Trinity Unit,,2013,TRUE,Shasta,45,12,3,30,2013-09-15T07:30:00Z,,FALSE,TRUE,,,6,40.498332,-122.535496,TRUE,Clover Fire,100,342,TRUE,2013-09-09T12:32:00Z,Finalized,10,201,,,
7055,FALSE,CAL FIRE San Diego Unit / Cleveland National Forest,,2013,TRUE,San Diego,37,56,24,183,2013-07-15T06:15:00Z,,FALSE,TRUE,,9,12,32.95435,-116.47381,TRUE,Chariot Fire,100,2147,TRUE,2013-07-06T12:55:00Z,Finalized,9,149,,,24
6965,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Tehama,52,53,22,131,2013-05-09T09:00:00Z,,FALSE,TRUE,,6,6,40.190062,-121.595555,TRUE,Panther Fire,100,1811,TRUE,2013-05-01T09:12:00Z,Finalized,,,,,40
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,Kern,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,-118.9411,TRUE,Grand Fire,100,847,TRUE,2013-05-15T12:50:00Z,Finalized,,,,,12
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,Ventura,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,-118.9411,TRUE,Grand Fire,100,847,TRUE,2013-05-15T12:50:00Z,Finalized,,,,,12
3505,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Sonoma,49,8,,5,2013-11-27T18:15:00Z,,FALSE,TRUE,,,6,38.8167,-122.8498,TRUE,McCabe Fire,100,188,TRUE,2013-11-22T02:04:00Z,Finalized,,1,,,
3166,FALSE,CAL FIRE/Riverside County Fire ,,2013,TRUE,Riverside,33,36,5,62,2013-05-04T18:30:00Z,,FALSE,TRUE,,5,2,34.288877,-116.941311,TRUE,Summit Fire,100,726,TRUE,2013-05-01T12:38:00Z,Finalized,,1,,,7
