Year,Année,ISO,Jurisdiction,Juridiction,Fire size class,"Classe de superficie à l'extinction",Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1990,1990,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",171,a,171,a
1990,1990,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",504,a,504,a
1990,1990,AB,Alberta,Alberta,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",35809.5,a,35809.5,a
1990,1990,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1767.7,a,1767.7,a
1990,1990,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",8179.1,a,8179.1,a
1990,1990,AB,Alberta,Alberta,1000.1 - 10 000 ha,1000.1 - 10 000 ha,12379.7,a,12379.7,a
1990,1990,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'à 0,1 ha",74.2000000000001,a,74.2000000000001,a
1990,1990,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",291.499999999999,a,291.499999999999,a
1990,1990,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",1181.1,a,1181.1,a
1990,1990,BC,British Columbia,Colombie-Britannique,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",36293.4,a,36293.4,a
1990,1990,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",4259.3,a,4259.3,a
1990,1990,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",12492.7,a,12492.7,a
1990,1990,BC,British Columbia,Colombie-Britannique,1000.1 - 10 000 ha,1000.1 - 10 000 ha,21120.6,a,21120.6,a
1990,1990,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'à 0,1 ha",143.199999999996,a,143.199999999996,a
1990,1990,MB,Manitoba,Manitoba,0.11 - 1.0 ha,"0,11 - 1 ha",104.9,a,104.9,a
1990,1990,MB,Manitoba,Manitoba,1.1 - 10 ha,"1,1 - 10 ha",527.3,a,527.3,a
1990,1990,MB,Manitoba,Manitoba,10.1 - 100 ha,"10,1 - 100 ha",1825.1,a,1825.1,a
1990,1990,MB,Manitoba,Manitoba,100.1 - 1 000 ha,"100,1 - 1 000 ha",5432.9,a,5432.9,a
1990,1990,MB,Manitoba,Manitoba,1000.1 - 10 000 ha,1000.1 - 10 000 ha,8238.3,a,8238.3,a
1990,1990,MB,Manitoba,Manitoba,Up to 0.1 ha,"Jusqu'à 0,1 ha",16.5,a,16.5,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,0.11 - 1.0 ha,"0,11 - 1 ha",42.9,a,42.9,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,1.1 - 10 ha,"1,1 - 10 ha",149.7,a,149.7,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,10.1 - 100 ha,"10,1 - 100 ha",28.8,a,28.8,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,1000.1 - 10 000 ha,1000.1 - 10 000 ha,5984,a,5984,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Up to 0.1 ha,"Jusqu'à 0,1 ha",13,a,13,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,0.11 - 1.0 ha,"0,11 - 1 ha",14.8,a,14.8,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1.1 - 10 ha,"1,1 - 10 ha",78.6,a,78.6,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10.1 - 100 ha,"10,1 - 100 ha",77.3,a,77.3,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,100.1 - 1 000 ha,"100,1 - 1 000 ha",4839,a,4839,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1000.1 - 10 000 ha,1000.1 - 10 000 ha,19591,a,19591,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Up to 0.1 ha,"Jusqu'à 0,1 ha",1.6,a,1.6,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,0.11 - 1.0 ha,"0,11 - 1 ha",73.48,a,73.48,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,1.1 - 10 ha,"1,1 - 10 ha",172.38,a,172.38,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,10.1 - 100 ha,"10,1 - 100 ha",282.37,a,282.37,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,100.1 - 1 000 ha,"100,1 - 1 000 ha",528,a,528,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Up to 0.1 ha,"Jusqu'à 0,1 ha",11.93,a,11.93,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,0.11 - 1.0 ha,"0,11 - 1 ha",38.55,a,38.55,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,1.1 - 10 ha,"1,1 - 10 ha",195.3,a,195.3,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",87501,a,87501,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,10.1 - 100 ha,"10,1 - 100 ha",924,a,924,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,100.1 - 1 000 ha,"100,1 - 1 000 ha",4155,a,4155,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,1000.1 - 10 000 ha,1000.1 - 10 000 ha,11800,a,11800,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Up to 0.1 ha,"Jusqu'à 0,1 ha",3.55,a,3.55,a
1990,1990,ON,Ontario,Ontario,0.11 - 1.0 ha,"0,11 - 1 ha",319.300003568007,a,319.300003568007,a
1990,1990,ON,Ontario,Ontario,1.1 - 10 ha,"1,1 - 10 ha",725.099999552,a,725.099999552,a
1990,1990,ON,Ontario,Ontario,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",128990,a,128990,a
1990,1990,ON,Ontario,Ontario,10.1 - 100 ha,"10,1 - 100 ha",2393.8000019,a,2393.8000019,a
1990,1990,ON,Ontario,Ontario,100.1 - 1 000 ha,"100,1 - 1 000 ha",16031,a,16031,a
1990,1990,ON,Ontario,Ontario,1000.1 - 10 000 ha,1000.1 - 10 000 ha,35154,a,35154,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,0.11 - 1.0 ha,"0,11 - 1 ha",5,a,5,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,1000.1 - 10 000 ha,"1 000,1 - 10 000 ha",0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,1.1 - 10 ha,"1,1 - 10 ha",56,a,56,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,10.1 - 100 ha,"10,1 - 100 ha",40,a,40,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,100.1 - 1 000 ha,"100,1 - 1 000 ha",0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Over 100 000 ha,Plus de 100 000 ha,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Up to 0.1 ha,"Jusqu'à 0,1 ha",1,a,1,a
1990,1990,QC,Quebec,Québec,0.11 - 1.0 ha,"0,11 - 1 ha",86.3000000000001,a,86.3000000000001,a
1990,1990,QC,Quebec,Québec,1.1 - 10 ha,"1,1 - 10 ha",475.3,a,475.3,a
1990,1990,QC,Quebec,Québec,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",27031,a,27031,a
1990,1990,QC,Quebec,Québec,10.1 - 100 ha,"10,1 - 100 ha",1167.8,a,1167.8,a
1990,1990,QC,Quebec,Québec,100.1 - 1 000 ha,"100,1 - 1 000 ha",8173,a,8173,a
1990,1990,QC,Quebec,Québec,1000.1 - 10 000 ha,1000.1 - 10 000 ha,46399,a,46399,a
1990,1990,QC,Quebec,Québec,Up to 0.1 ha,"Jusqu'à 0,1 ha",10.2,a,10.2,a
1990,1990,SK,Saskatchewan,Saskatchewan,0.11 - 1.0 ha,"0,11 - 1 ha",145.05,a,145.05,a
1990,1990,SK,Saskatchewan,Saskatchewan,1.1 - 10 ha,"1,1 - 10 ha",372.1,a,372.1,a
1990,1990,SK,Saskatchewan,Saskatchewan,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",152988.82603,a,152988.82603,a
