Year,Année,ISO,Jurisdiction,Juridiction,Month,Mois,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1990,1990,AB,Alberta,Alberta,January,Janvier,0.1,a,0.1,a
1990,1990,AB,Alberta,Alberta,October,Octobre,182.4,a,182.4,a
1990,1990,AB,Alberta,Alberta,November,Novembre,42.5,a,42.5,a
1990,1990,AB,Alberta,Alberta,December,Décembre,0.4,a,0.4,a
1990,1990,AB,Alberta,Alberta,February,Février,3.3,a,3.3,a
1990,1990,AB,Alberta,Alberta,March,Mars,6.6,a,6.6,a
1990,1990,AB,Alberta,Alberta,April,Avril,25.1,a,25.1,a
1990,1990,AB,Alberta,Alberta,May,Mai,635.800000000001,a,635.800000000001,a
1990,1990,AB,Alberta,Alberta,June,Juin,1779.09999999999,a,1779.09999999999,a
1990,1990,AB,Alberta,Alberta,July,Juillet,39003.2,a,39003.2,a
1990,1990,AB,Alberta,Alberta,August,Août,14890.9,a,14890.9,a
1990,1990,AB,Alberta,Alberta,September,Septembre,2315.8,a,2315.8,a
1990,1990,BC,British Columbia,Colombie-Britannique,October,Octobre,122.7,a,122.7,a
1990,1990,BC,British Columbia,Colombie-Britannique,November,Novembre,0.8,a,0.8,a
1990,1990,BC,British Columbia,Colombie-Britannique,February,Février,0.7,a,0.7,a
1990,1990,BC,British Columbia,Colombie-Britannique,March,Mars,123,a,123,a
1990,1990,BC,British Columbia,Colombie-Britannique,April,Avril,435.100000000001,a,435.100000000001,a
1990,1990,BC,British Columbia,Colombie-Britannique,May,Mai,3443.89999999999,a,3443.89999999999,a
1990,1990,BC,British Columbia,Colombie-Britannique,June,Juin,79.8999999999998,a,79.8999999999998,a
1990,1990,BC,British Columbia,Colombie-Britannique,July,Juillet,25045.6999999998,a,25045.6999999998,a
1990,1990,BC,British Columbia,Colombie-Britannique,August,Août,11674.3000000002,a,11674.3000000002,a
1990,1990,BC,British Columbia,Colombie-Britannique,September,Septembre,34855.6999999999,a,34855.6999999999,a
1990,1990,MB,Manitoba,Manitoba,October,Octobre,2123.4,a,2123.4,a
1990,1990,MB,Manitoba,Manitoba,November,Novembre,324.8,a,324.8,a
1990,1990,MB,Manitoba,Manitoba,December,Décembre,0.2,a,0.2,a
1990,1990,MB,Manitoba,Manitoba,April,Avril,2774.5,a,2774.5,a
1990,1990,MB,Manitoba,Manitoba,May,Mai,337.9,a,337.9,a
1990,1990,MB,Manitoba,Manitoba,June,Juin,400.6,a,400.6,a
1990,1990,MB,Manitoba,Manitoba,July,Juillet,5377.4,a,5377.4,a
1990,1990,MB,Manitoba,Manitoba,August,Août,4754.3,a,4754.3,a
1990,1990,MB,Manitoba,Manitoba,September,Septembre,51.9,a,51.9,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,October,Octobre,0.2,a,0.2,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,March,Mars,0,a,0,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,April,Avril,53.3,a,53.3,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,May,Mai,88.1,a,88.1,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,June,Juin,6011.80000000001,a,6011.80000000001,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,July,Juillet,25.7,a,25.7,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,August,Août,10.7,a,10.7,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,September,Septembre,28.6,a,28.6,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,October,Octobre,0,a,0,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,March,Mars,1.6,a,1.6,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,April,Avril,17.1,a,17.1,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,May,Mai,2860.7,a,2860.7,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,June,Juin,355.7,a,355.7,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,July,Juillet,20395.9,a,20395.9,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,August,Août,966.7,a,966.7,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,September,Septembre,4.6,a,4.6,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,October,Octobre,1.54,a,1.54,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,November,Novembre,0.04,a,0.04,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,March,Mars,103.73,a,103.73,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,April,Avril,65.35,a,65.35,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,May,Mai,262.61,a,262.61,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,June,Juin,574.01,a,574.01,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,July,Juillet,26.91,a,26.91,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,August,Août,29.01,a,29.01,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,September,Septembre,4.96,a,4.96,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,May,Mai,54.64,a,54.64,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,June,Juin,3838.41,a,3838.41,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,July,Juillet,100678.28,a,100678.28,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,August,Août,45.56,a,45.56,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,September,Septembre,0.51,a,0.51,a
1990,1990,ON,Ontario,Ontario,October,Octobre,21.600000047,a,21.600000047,a
1990,1990,ON,Ontario,Ontario,November,Novembre,1661.400000078,a,1661.400000078,a
1990,1990,ON,Ontario,Ontario,March,Mars,187.800000543,a,187.800000543,a
1990,1990,ON,Ontario,Ontario,April,Avril,683.500001691001,a,683.500001691001,a
1990,1990,ON,Ontario,Ontario,May,Mai,5914.700000223,a,5914.700000223,a
1990,1990,ON,Ontario,Ontario,June,Juin,2118.899999875,a,2118.899999875,a
1990,1990,ON,Ontario,Ontario,July,Juillet,131454.300000477,a,131454.300000477,a
1990,1990,ON,Ontario,Ontario,August,Août,41511.500001615,a,41511.500001615,a
1990,1990,ON,Ontario,Ontario,September,Septembre,59.500000471,a,59.500000471,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,April,avril,36,a,36,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,August,août,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,December,décembre,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,February,février,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,January,janvier,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,July,julliet,5,a,5,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,June,juin,11,a,11,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,March,mars,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,May,mai,50,a,50,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,November,novembre,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,October,octobre,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,September,septembre,0,a,0,a
