Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de données
1990,1990,AB,Alberta,Alberta,Human activity,Activités humaines,379,a,379,a
1990,1990,AB,Alberta,Alberta,Lightning,Foudre,971,a,971,a
1990,1990,AB,Alberta,Alberta,Unspecified,Indéterminée,16,a,16,a
1990,1990,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1240,a,1240,a
1990,1990,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2015,a,2015,a
1990,1990,MB,Manitoba,Manitoba,Human activity,Activités humaines,283,a,283,a
1990,1990,MB,Manitoba,Manitoba,Lightning,Foudre,279,a,279,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,318,a,318,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,29,a,29,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,30,a,30,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,154,a,154,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,11,a,11,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,441,a,441,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,8,a,8,a
1990,1990,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,48,a,48,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,40,a,40,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,194,a,194,a
1990,1990,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,2,a,2,a
1990,1990,ON,Ontario,Ontario,Human activity,Activités humaines,940,a,940,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,645,a,645,a
1990,1990,ON,Ontario,Ontario,Unspecified,Indéterminée,27,a,27,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,30,a,30,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,8,a,8,a
1990,1990,QC,Quebec,Québec,Human activity,Activités humaines,595,a,595,a
1990,1990,QC,Quebec,Québec,Lightning,Foudre,256,a,256,a
1990,1990,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,434,a,434,a
1990,1990,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,463,a,463,a
1990,1990,YT,Yukon,Yukon,Human activity,Activités humaines,81,a,81,a
1990,1990,YT,Yukon,Yukon,Lightning,Foudre,73,a,73,a
1991,1991,AB,Alberta,Alberta,Human activity,Activités humaines,433,a,433,a
1991,1991,AB,Alberta,Alberta,Lightning,Foudre,484,a,484,a
1991,1991,AB,Alberta,Alberta,Unspecified,Indéterminée,27,a,27,a
1991,1991,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1253,a,1253,a
1991,1991,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,761,a,761,a
1991,1991,MB,Manitoba,Manitoba,Human activity,Activités humaines,205,a,205,a
1991,1991,MB,Manitoba,Manitoba,Lightning,Foudre,467,a,467,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,498,a,498,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,86,a,86,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,72,a,72,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,92,a,92,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,23,a,23,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,636,a,636,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,40,a,40,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,50,a,50,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,43,a,43,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,283,a,283,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,5,a,5,a
1991,1991,ON,Ontario,Ontario,Human activity,Activités humaines,1265,a,1265,a
1991,1991,ON,Ontario,Ontario,Lightning,Foudre,1259,a,1259,a
1991,1991,ON,Ontario,Ontario,Unspecified,Indéterminée,36,a,36,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,26,a,26,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,22,a,22,a
1991,1991,QC,Quebec,Québec,Human activity,Activités humaines,737,a,737,a
1991,1991,QC,Quebec,Québec,Lightning,Foudre,479,a,479,a
1991,1991,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,493,a,493,a
1991,1991,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,269,a,269,a
1991,1991,YT,Yukon,Yukon,Human activity,Activités humaines,62,a,62,a
1991,1991,YT,Yukon,Yukon,Lightning,Foudre,125,a,125,a
1992,1992,AB,Alberta,Alberta,Human activity,Activités humaines,398,a,398,a
1992,1992,AB,Alberta,Alberta,Lightning,Foudre,631,a,631,a
1992,1992,AB,Alberta,Alberta,Unspecified,Indéterminée,32,a,32,a
1992,1992,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1461,a,1461,a
1992,1992,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2344,a,2344,a
1992,1992,MB,Manitoba,Manitoba,Human activity,Activités humaines,103,a,103,a
1992,1992,MB,Manitoba,Manitoba,Lightning,Foudre,195,a,195,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,500,a,500,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,22,a,22,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,54,a,54,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,99,a,99,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,7,a,7,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,265,a,265,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2,a,2,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,29,a,29,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,73,a,73,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,199,a,199,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,13,a,13,a
1992,1992,ON,Ontario,Ontario,Human activity,Activités humaines,675,a,675,a
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,262,a,262,a
1992,1992,ON,Ontario,Ontario,Unspecified,Indéterminée,23,a,23,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,24,a,24,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,3,a,3,a
1992,1992,QC,Quebec,Québec,Human activity,Activités humaines,648,a,648,a
1992,1992,QC,Quebec,Québec,Lightning,Foudre,117,a,117,a
1992,1992,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,471,a,471,a
1992,1992,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,228,a,228,a
1992,1992,YT,Yukon,Yukon,Human activity,Activités humaines,48,a,48,a
1992,1992,YT,Yukon,Yukon,Lightning,Foudre,68,a,68,a
1993,1993,AB,Alberta,Alberta,Human activity,Activités humaines,306,a,306,a
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,547,a,547,a
1993,1993,AB,Alberta,Alberta,Unspecified,Indéterminée,23,a,23,a
1993,1993,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,886,a,886,a
1993,1993,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,611,a,611,a
1993,1993,MB,Manitoba,Manitoba,Human activity,Activités humaines,102,a,102,a
1993,1993,MB,Manitoba,Manitoba,Lightning,Foudre,137,a,137,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,349,a,349,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,31,a,31,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,50,a,50,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,53,a,53,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,12,a,12,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,288,a,288,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,3,a,3,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,11,a,11,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,67,a,67,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,2,a,2,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,398,a,398,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,6,a,6,a
1993,1993,ON,Ontario,Ontario,Human activity,Activités humaines,562,a,562,a
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,163,a,163,a
1993,1993,ON,Ontario,Ontario,Unspecified,Indéterminée,17,a,17,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,23,a,23,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,6,a,6,a
1993,1993,QC,Quebec,Québec,Human activity,Activités humaines,432,a,432,a
1993,1993,QC,Quebec,Québec,Lightning,Foudre,111,a,111,a
1993,1993,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,462,a,462,a
1993,1993,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,183,a,183,a
1993,1993,YT,Yukon,Yukon,Human activity,Activités humaines,59,a,59,a
1993,1993,YT,Yukon,Yukon,Lightning,Foudre,77,a,77,a
1994,1994,AB,Alberta,Alberta,Human activity,Activités humaines,361,a,361,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,551,a,551,a
1994,1994,AB,Alberta,Alberta,Unspecified,Indéterminée,19,a,19,a
1994,1994,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1169,a,1169,a
1994,1994,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,2888,a,2888,a
1994,1994,MB,Manitoba,Manitoba,Human activity,Activités humaines,134,a,134,a
1994,1994,MB,Manitoba,Manitoba,Lightning,Foudre,421,a,421,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,433,a,433,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,15,a,15,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,70,a,70,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,122,a,122,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,7,a,7,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,244,a,244,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,19,a,19,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,92,a,92,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,28,a,28,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,525,a,525,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,8,a,8,a
1994,1994,ON,Ontario,Ontario,Human activity,Activités humaines,698,a,698,a
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,351,a,351,a
1994,1994,ON,Ontario,Ontario,Unspecified,Indéterminée,30,a,30,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,34,a,34,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,9,a,9,a
1994,1994,QC,Quebec,Québec,Human activity,Activités humaines,381,a,381,a
1994,1994,QC,Quebec,Québec,Lightning,Foudre,118,a,118,a
1994,1994,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,435,a,435,a
1994,1994,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,262,a,262,a
1994,1994,YT,Yukon,Yukon,Human activity,Activités humaines,70,a,70,a
1994,1994,YT,Yukon,Yukon,Lightning,Foudre,185,a,185,a
1995,1995,AB,Alberta,Alberta,Human activity,Activités humaines,414,a,414,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,366,a,366,a
1995,1995,AB,Alberta,Alberta,Unspecified,Indéterminée,28,a,28,a
1995,1995,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,1130,a,1130,a
1995,1995,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,344,a,344,a
1995,1995,MB,Manitoba,Manitoba,Human activity,Activités humaines,262,a,262,a
1995,1995,MB,Manitoba,Manitoba,Lightning,Foudre,399,a,399,a
1995,1995,MB,Manitoba,Manitoba,Unspecified,Indéterminée,1,a,1,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,395,a,395,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,81,a,81,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,71,a,71,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,84,a,84,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,2,a,2,a
