Year,Année,ISO,Jurisdiction,Juridiction,Fire size class,"Classe de superficie à l'extinction",Number,Data Qualifier,Nombre,Qualificatifs de données
1990,1990,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",380,a,380,a
1990,1990,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",160,a,160,a
1990,1990,AB,Alberta,Alberta,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",3,a,3,a
1990,1990,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",54,a,54,a
1990,1990,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",23,a,23,a
1990,1990,AB,Alberta,Alberta,1000.1 - 10 000 ha,1000.1 - 10 000 ha,3,a,3,a
1990,1990,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'à 0,1 ha",743,a,743,a
1990,1990,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",666,a,666,a
1990,1990,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",315,a,315,a
1990,1990,BC,British Columbia,Colombie-Britannique,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",2,a,2,a
1990,1990,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",122,a,122,a
1990,1990,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",40,a,40,a
1990,1990,BC,British Columbia,Colombie-Britannique,1000.1 - 10 000 ha,1000.1 - 10 000 ha,10,a,10,a
1990,1990,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'à 0,1 ha",2100,a,2100,a
1990,1990,MB,Manitoba,Manitoba,0.11 - 1.0 ha,"0,11 - 1 ha",182,a,182,a
1990,1990,MB,Manitoba,Manitoba,1.1 - 10 ha,"1,1 - 10 ha",134,a,134,a
1990,1990,MB,Manitoba,Manitoba,10.1 - 100 ha,"10,1 - 100 ha",60,a,60,a
1990,1990,MB,Manitoba,Manitoba,100.1 - 1 000 ha,"100,1 - 1 000 ha",16,a,16,a
1990,1990,MB,Manitoba,Manitoba,1000.1 - 10 000 ha,1000.1 - 10 000 ha,5,a,5,a
1990,1990,MB,Manitoba,Manitoba,Up to 0.1 ha,"Jusqu'à 0,1 ha",165,a,165,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,0.11 - 1.0 ha,"0,11 - 1 ha",77,a,77,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,1.1 - 10 ha,"1,1 - 10 ha",46,a,46,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,10.1 - 100 ha,"10,1 - 100 ha",2,a,2,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,1000.1 - 10 000 ha,1000.1 - 10 000 ha,2,a,2,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Up to 0.1 ha,"Jusqu'à 0,1 ha",250,a,250,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,0.11 - 1.0 ha,"0,11 - 1 ha",31,a,31,a
