Year,Année,ISO,Jurisdiction,Juridiction,Protection zone,Zone de protection,Dollars (En),Data qualifier,Dollars (Fr),Qualificatifs de données
1970,1970,AB,Alberta,Alberta,Intensive,Intensive,0,a,0,a
1970,1970,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1970,1970,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,344684,a,344684,a
1970,1970,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1970,1970,MB,Manitoba,Manitoba,Intensive,Intensive,2002,a,2002,a
1970,1970,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1970,1970,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,20280,a,20280,a
1970,1970,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1970,1970,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,0,a,0,a
1970,1970,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1970,1970,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1970,1970,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,0,a,0,a
1970,1970,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1970,1970,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
1970,1970,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1970,1970,ON,Ontario,Ontario,Intensive,Intensive,0,a,0,a
1970,1970,ON,Ontario,Ontario,Intensive,Intensive,,n,,n
1970,1970,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1970,1970,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1970,1970,QC,Quebec,Québec,Intensive,Intensive,98336,a,98336,a
1970,1970,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1970,1970,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1970,1970,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1970,1970,YT,Yukon,Yukon,Intensive,Intensive,50,a,50,a
1970,1970,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1971,1971,AB,Alberta,Alberta,Intensive,Intensive,0,a,0,a
1971,1971,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1971,1971,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,454027,a,454027,a
1971,1971,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1971,1971,MB,Manitoba,Manitoba,Intensive,Intensive,2157,a,2157,a
1971,1971,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1971,1971,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,40010,a,40010,a
1971,1971,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1971,1971,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,0,a,0,a
1971,1971,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1971,1971,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1971,1971,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,0,a,0,a
1971,1971,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1971,1971,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
1971,1971,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1971,1971,ON,Ontario,Ontario,Intensive,Intensive,75875,a,75875,a
